,status,bought_date,bought_price,sold_date,sold_price,time_delta,ticker
0,profit,2019-11-01,10,2020-12-16,11,411 days,ASTS
1,profit,2020-06-29,10,2020-12-04,11,158 days,INVZ
2,no_profit,2019-04-18,10,2021-03-31,10,713 days,FOA
3,profit,2020-10-09,10,2020-11-06,11,28 days,PSFE
4,profit,2020-02-03,10,2020-11-18,11,289 days,ARVL
5,profit,2020-05-01,10,2020-11-23,11,206 days,NVVE
6,profit,2020-07-20,10,2020-11-27,11,130 days,PCT
7,profit,2020-02-27,10,2020-11-30,11,277 days,AEVA
8,profit,2020-10-09,10,2020-12-22,11,74 days,OUST
9,profit,2020-10-19,10,2020-12-21,11,63 days,VIEW
10,profit,2019-09-16,10,2020-09-16,11,366 days,CHPT
11,profit,2020-07-13,10,2020-11-20,11,130 days,BFLY
12,profit,2020-08-26,10,2020-09-10,11,15 days,NUVB
13,profit,2020-08-31,10,2020-12-10,11,101 days,PLBY
14,profit,2020-11-09,10,2020-11-24,11,15 days,MILE
15,profit,2020-06-15,10,2020-10-13,11,120 days,ETWO
16,profit,2019-01-23,10,2020-11-27,11,674 days,ADN
17,profit,2020-06-16,10,2020-09-29,11,105 days,APPH
18,profit,2020-05-01,10,2020-09-21,11,143 days,UWMC
19,profit,2019-05-09,10,2020-12-28,11,599 days,LOTZ
20,profit,2019-09-13,10,2020-08-17,11,339 days,HIMS
21,profit,2019-08-06,10,2020-10-19,11,440 days,BTRS
22,profit,2018-06-29,10,2020-07-13,11,745 days,LSEA
23,profit,2018-09-21,10,2020-06-01,11,619 days,BMTX
24,profit,2018-10-18,10,2020-09-02,11,685 days,CLNN
25,profit,2019-04-01,10,2020-10-02,11,550 days,RMO
26,profit,2020-05-28,10,2020-10-15,11,140 days,DNMR
27,profit,2019-06-06,10,2020-06-29,11,389 days,GNOG
28,profit,2020-04-27,10,2020-07-22,11,86 days,RSI
29,profit,2020-05-27,10,2020-09-29,11,125 days,VINC
30,profit,2020-01-13,10,2020-07-30,11,199 days,PRCH
31,profit,2019-07-23,10,2019-09-11,11,50 days,ARKO
32,profit,2019-02-28,10,2020-11-30,11,641 days,ASLE
33,profit,2019-09-03,10,2020-09-18,11,381 days,XL
34,profit,2019-04-16,10,2020-05-22,11,402 days,GOEV
35,profit,2018-03-26,10,2020-04-22,11,758 days,BFI
36,profit,2020-04-27,10,2020-07-01,11,65 days,SKLZ
37,profit,2018-10-18,10,2020-05-21,11,581 days,RVPH
38,profit,2019-05-03,10,2020-08-26,11,481 days,DM
39,profit,2019-03-25,10,2020-07-02,11,465 days,LAZR
40,profit,2020-08-17,10,2020-09-03,11,17 days,QS
41,profit,2019-11-07,10,2020-11-12,11,371 days,UK
42,profit,2020-06-22,10,2020-07-15,11,23 days,MP
43,profit,2019-02-06,10,2020-07-06,11,516 days,GCMG
44,profit,2019-08-14,10,2020-06-30,11,321 days,TRIT
45,profit,2017-06-27,10,2020-06-17,11,1086 days,ATNF
46,profit,2020-01-28,10,2020-07-27,11,181 days,TLMD
47,profit,2018-10-02,10,2020-07-06,11,643 days,FSR
48,profit,2019-04-18,10,2020-08-03,11,473 days,RIDE
49,profit,2019-01-25,10,2020-06-29,11,521 days,PAYA
50,profit,2018-09-12,10,2020-05-14,11,610 days,TTCF
51,no_profit,2020-01-08,10,2020-10-13,10,279 days,CURI
52,profit,2019-06-04,10,2020-06-22,11,384 days,SFT
53,profit,2020-04-03,10,2020-06-30,11,88 days,MPLN
54,profit,2020-01-02,10,2020-06-19,11,169 days,HYLN
55,profit,2019-05-16,10,2019-05-30,11,14 days,EQOS
56,profit,2018-10-26,10,2020-06-12,11,595 days,VLDR
57,profit,2018-06-27,10,2020-01-16,11,568 days,GB
58,profit,2018-11-26,10,2020-01-21,11,421 days,UTZ
59,profit,2018-05-29,10,2020-03-26,11,667 days,HPK
60,profit,2018-04-16,10,2020-07-13,11,819 days,DMS
61,profit,2018-12-12,10,2019-10-21,11,313 days,IMTX
62,profit,2018-03-13,10,2020-04-16,11,765 days,HOFV
63,profit,2019-05-14,10,2020-06-12,11,395 days,FREE
64,profit,2019-06-21,10,2020-06-10,11,355 days,LGHL
65,profit,2018-03-26,10,2018-08-16,11,143 days,LPRO
66,profit,2018-06-11,10,2020-03-03,11,631 days,NKLA
67,profit,2018-03-12,10,2020-05-27,11,807 days,HYMC
68,profit,2019-03-07,10,2019-08-14,11,160 days,SJ
69,profit,2019-07-25,10,2019-12-24,11,152 days,DKNG
70,profit,2017-08-08,10,2019-12-10,11,854 days,AVCT
71,profit,2018-04-10,10,2019-12-13,11,612 days,IGIC
72,no_profit,2019-01-03,10,2020-03-12,10,434 days,BWMX
73,profit,2018-10-30,10,2019-12-06,11,402 days,GDYN
74,profit,2018-10-17,10,2020-03-26,11,526 days,METX
75,profit,2019-02-06,10,2020-02-11,11,370 days,ATCX
76,no_profit,2019-04-25,10,2020-02-13,10,294 days,ALTG
77,profit,2018-09-12,10,2020-02-12,11,518 days,GSMG
78,profit,2018-11-05,10,2019-12-20,11,410 days,PAE
79,profit,2018-08-02,10,2019-12-10,11,495 days,VRT
80,no_profit,2017-12-11,10,2020-01-16,10,766 days,VVNT
81,profit,2018-07-13,10,2019-12-17,11,522 days,BROG
82,profit,2019-06-21,10,2019-12-11,11,173 days,IMVT
83,no_profit,2018-07-27,10,2019-12-18,10,509 days,NFH
84,profit,2018-01-17,10,2019-11-22,11,674 days,KLR
85,no_profit,2017-08-24,10,2019-11-19,10,817 days,ACEL
86,no_profit,2018-05-31,10,2019-11-07,10,525 days,AHCO
87,profit,2019-03-13,10,2019-07-18,11,127 days,PHGE
88,profit,2017-11-17,10,2019-10-04,11,686 days,SPCE
89,profit,2017-10-25,10,2018-10-01,11,341 days,AESE
90,no_profit,2017-10-09,10,2019-07-30,10,659 days,CTOS
91,profit,2018-07-17,10,2019-07-10,11,358 days,RPAY
92,profit,2018-02-26,10,2018-07-03,11,127 days,KERN
93,no_profit,2017-07-18,10,2019-05-14,10,665 days,XYNO
94,profit,2018-10-29,10,2019-02-05,11,99 days,CLVT
95,no_profit,2017-11-06,10,2019-04-30,10,540 days,KXIN
96,profit,2017-11-17,10,2019-03-06,11,474 days,OSW
97,profit,2018-03-12,10,2018-04-26,11,45 days,TH
98,no_profit,2018-03-22,10,2019-03-01,10,344 days,BIOX
99,no_profit,2018-03-13,10,2018-12-12,10,274 days,PACK
100,profit,2017-05-01,10,2017-05-15,11,14 days,VRRM
101,no_profit,2017-10-30,10,2018-08-23,10,297 days,FLMN
102,profit,2017-07-07,10,2018-07-03,11,361 days,MGY
103,profit,2017-03-27,10,2017-03-31,11,4 days,IMXI
104,no_profit,2017-05-02,10,2018-02-22,10,296 days,CVON
